timestamp,price
2024-04-19 09:15:00,377.8
2024-04-19 09:15:08,375.45
2024-04-19 09:15:48,373.75
2024-04-19 09:15:55,374.0
2024-04-19 09:16:01,373.85
2024-04-19 09:16:08,373.7
2024-04-19 09:16:09,373.25
2024-04-19 09:16:10,373.65
2024-04-19 09:16:11,373.6
2024-04-19 09:16:12,373.8
2024-04-19 09:16:13,373.65
2024-04-19 09:16:14,373.4
2024-04-19 09:16:15,373.85
2024-04-19 09:16:16,374.1
2024-04-19 09:16:17,374.45
2024-04-19 09:16:18,374.25
2024-04-19 09:16:19,374.45
2024-04-19 09:16:20,374.45
2024-04-19 09:16:21,374.65
2024-04-19 09:16:22,375.0
2024-04-19 09:16:23,375.6
2024-04-19 09:16:24,375.1
2024-04-19 09:16:25,375.6
2024-04-19 09:16:26,375.5
2024-04-19 09:16:27,376.2
2024-04-19 09:16:28,376.1
2024-04-19 09:16:29,376.65
2024-04-19 09:16:30,376.65
2024-04-19 09:16:31,376.15
2024-04-19 09:16:32,376.35
2024-04-19 09:16:33,376.55
2024-04-19 09:16:34,377.0
2024-04-19 09:16:35,376.8
2024-04-19 09:16:37,376.9
2024-04-19 09:16:38,376.75
2024-04-19 09:16:39,376.95
2024-04-19 09:16:40,376.4
2024-04-19 09:16:41,376.6
2024-04-19 09:16:42,377.0
2024-04-19 09:16:43,377.4
2024-04-19 09:16:44,377.6
2024-04-19 09:16:45,377.35
2024-04-19 09:16:46,377.5
2024-04-19 09:16:47,377.35
2024-04-19 09:16:48,377.0
2024-04-19 09:16:49,377.0
2024-04-19 09:16:50,376.65
2024-04-19 09:16:51,376.8
2024-04-19 09:16:52,376.6
2024-04-19 09:16:53,376.75
2024-04-19 09:16:54,376.55
2024-04-19 09:16:55,376.25
2024-04-19 09:16:56,375.8
2024-04-19 09:16:57,375.05
2024-04-19 09:16:58,375.4
2024-04-19 09:16:59,375.8
2024-04-19 09:17:00,375.6
2024-04-19 09:17:01,375.55
2024-04-19 09:17:02,375.5
2024-04-19 09:17:03,375.55
2024-04-19 09:17:04,375.6
2024-04-19 09:17:05,375.5
2024-04-19 09:17:06,375.45
2024-04-19 09:17:07,375.75
2024-04-19 09:17:08,376.25
2024-04-19 09:17:09,375.1
2024-04-19 09:17:10,375.1
2024-04-19 09:17:11,375.4
2024-04-19 09:17:12,375.35
2024-04-19 09:17:13,375.2
2024-04-19 09:17:14,374.55
2024-04-19 09:17:15,374.95
2024-04-19 09:17:16,374.85
2024-04-19 09:17:17,375.0
2024-04-19 09:17:18,374.95
2024-04-19 09:17:19,374.9
2024-04-19 09:17:20,374.55
2024-04-19 09:17:21,374.7
2024-04-19 09:17:22,374.95
2024-04-19 09:17:23,375.0
2024-04-19 09:17:24,375.2
2024-04-19 09:17:25,375.05
2024-04-19 09:17:26,375.1
2024-04-19 09:17:27,375.05
2024-04-19 09:17:28,375.3
2024-04-19 09:17:29,376.15
2024-04-19 09:17:30,376.2
